RouteID,EvacPoint,Shelter,Distance_km,Time_min
R1,Desa Panulisan Barat,BPBD Kabupaten Cilacap,105.426,142.1
R2,Desa Panulisan Barat,SMP N 1 Cilacap,106.891,145.1
R3,Desa Panulisan Barat,Politeknik Negeri Cilacap,102.493,139.5
R4,Desa Panulisan Barat,RSUD Cilacap,102.574,137.7
R5,Desa Panulisan Barat,Akbid Graha Mandiri,103.633,141.2
R6,Desa Panulisan Barat,Asrama Putri Stikes Al-Irsyad,101.949,137.9
R7,Desa Panulisan Barat,SD Al-Irsyad 01,104.415,139.2
R8,Desa Panulisan Barat,Rusunawa,104.493,140.8
R9,Desa Panulisan Barat,AMN Cilacap,101.109,137.2
R10,Desa Panulisan Barat,RSI Fatimah,99.762,135.4
R11,Desa Panulisan Barat,Badan Diklat Arsip dan Perpusd,103.94,140.7
R12,Desa Panulisan Barat,DPRD Kabupaten Cilacap,104.458,139.3
R13,Desa Panulisan Barat,SMP Pius Cilacap,105.142,144.1
R14,Desa Panulisan Barat,SMP Negeri 3 Cilacap,104.834,140.0
R15,Desa Panulisan Barat,SMP Purnama 1 Cilacap,103.249,140.4
R16,Desa Panulisan Barat,SMP Negeri 2 Cilacap,103.905,138.2
R17,Desa Panulisan Barat,Masjid Al-Jihad,98.787,131.5
R18,Desa Panulisan Barat,SMA Negeri 1 Cilacap,102.847,136.6
R19,Desa Panulisan Barat,RSU Santa Maria Cilacap,105.153,144.2
R20,Desa Panulisan Barat,Kantor Kelurahan Mertasinga,97.566,132.1
R21,Desa Panulisan Barat,Gedung Golkar,103.63,140.7
R22,Desa Panulisan Barat,SMA Sri Mukti Cilacap,101.927,138.2
R23,Desa Panulisan Barat,SMP Muhammadiyah 1,103.717,138.1
R24,Desa Panulisan Barat,SMP Muhammadiyah 2,97.339,129.1
R25,Desa Panulisan Barat,SMP PGRI 1 Cilacap,98.9,132.8
R26,Desa Panulisan Barat,SMP Purnama 2 Cilacap,103.942,138.2
R27,Desa Panulisan Barat,SMP Negeri 8 Cilacap,104.136,141.3
R28,Desa Panulisan Barat,SMK YPE Cilacap,103.612,141.2
R29,Desa Panulisan Barat,SMP Negeri 4 Cilacap,102.017,137.8
R30,Desa Panulisan Barat,SMP Negeri 6 Cilacap,101.747,137.3
R31,Desa Panulisan Barat,SD Negeri Tegalreja 01,102.944,136.4
R32,Desa Panulisan Barat,SMA Al-Irsyad Cilacap,104.496,139.4
R33,Desa Panulisan Barat,SD Negeri Tegalreja 02,101.829,136.1
R34,Desa Panulisan Barat,Masjid Agung Darussalam,104.704,140.0
R35,Desa Panulisan Barat,Hotel 3 Intan,105.661,142.1
R36,Desa Panulisan Barat,Hotel Mutiara,101.56,136.3
R37,Desa Panulisan Barat,PMI Cilacap,99.114,131.9
R38,Desa Panulisan Barat,SMA Yos Sudarso,104.886,143.7
R39,Desa Panulisan Barat,Rumah Sakit Aprilia,102.43,138.1
R40,Desa Panulisan Barat,Balai Desa Panulisan Barat,0.021,0.1
R41,Desa Panulisan Barat,Balai Desa Panulisan,1.223,3.9
R42,Desa Panulisan Barat,Balai Desa Panulisan Timur,3.932,10.9
R43,Desa Panulisan Barat,Balai Desa Karangrena,96.146,136.0
R44,Desa Panulisan Barat,Balai Desa Maos Kidul,96.113,131.9
R45,Desa Panulisan Barat,Balai Desa Maos Lor,97.575,130.4
R46,Desa Panulisan Barat,Balai Desa Kalijaran,98.955,137.9
R47,Desa Panulisan Barat,Balai Desa Mernek,100.024,137.7
R48,Desa Panulisan Barat,Balai Desa Penisihan,96.126,128.4
R49,Desa Panulisan Barat,Balai Desa Glempang,94.789,126.8
R50,Desa Panulisan Barat,Balai Desa Paketingan,94.506,129.6
R51,Desa Panulisan Barat,Balai Desa Ketanggung,96.538,130.4
R52,Desa Panulisan Barat,Balai Desa Nusajati,95.955,129.5
R53,Desa Panulisan Barat,Balai Desa Paberasan,97.262,133.8
R54,Desa Panulisan Barat,Balai Desa Karangjati,96.05,131.5
R55,Desa Panulisan Barat,Balai Desa Sidasari,93.697,126.7
R56,Desa Panulisan Barat,Balai Desa Karangasem,93.7,127.7
R57,Desa Panulisan Barat,Balai Desa Sampang,92.489,124.5
R58,Desa Panulisan Barat,Balai Desa Karangtengah,92.311,124.5
R59,Desa Panulisan Barat,Balai Desa Brani,90.697,122.2
R60,Desa Panulisan Barat,Balai Desa Sikampuh,99.291,134.8
R61,Desa Panulisan Barat,Balai Desa Karangturi,105.799,149.0
R62,Desa Panulisan Barat,Balai Desa Ayamalas,108.129,149.1
R63,Desa Panulisan Barat,Balai Desa Karangmangu,104.101,148.2
R64,Desa Panulisan Barat,Balai Desa Pucung Kidul,106.485,147.2
R65,Desa Panulisan Barat,Balai Desa Mergawati,108.744,151.5
R66,Desa Panulisan Barat,Balai Desa Pucung Lor,88.58,119.4
R67,Desa Panulisan Barat,Balai Desa Bajing,103.024,142.9
R68,Desa Panulisan Barat,Balai Desa Kroya,106.281,145.7
R69,Desa Panulisan Barat,Balai Desa Pekuncen,103.254,140.9
R70,Desa Panulisan Barat,Balai Desa Bajing Kulon,104.2,144.8
R71,Desa Panulisan Barat,Balai Desa Mujur,100.998,138.5
R72,Desa Panulisan Barat,Balai Desa Gentasari,98.484,134.9
R73,Desa Panulisan Barat,Balai Desa Mujur Lor,99.705,136.8
R74,Desa Panulisan Barat,Balai Desa Widarapayung Kulon,110.972,148.4
R75,Desa Panulisan Barat,Balai Desa Sidayu,111.529,149.5
R76,Desa Panulisan Barat,Balai Desa Widarapayung Wetan,112.798,151.0
R77,Desa Panulisan Barat,Balai Desa Sidaurip,55.686,90.2
R78,Desa Panulisan Barat,Balai Desa Pagubugan Kulon,117.069,155.8
R79,Desa Panulisan Barat,Balai Desa Pagubugan,118.595,158.7
R80,Desa Panulisan Barat,Balai Desa Karangnangka,114.529,160.7
R81,Desa Panulisan Barat,Balai Desa Kemojing,112.532,155.1
R82,Desa Panulisan Barat,Balai Desa Pesawahan,114.072,157.3
R83,Desa Panulisan Barat,Balai Desa Pasuruhan,111.11,157.2
R84,Desa Panulisan Barat,Balai Desa Alangamba,111.026,154.0
R85,Desa Panulisan Barat,Balai Desa Binangun,61.605,108.8
R86,Desa Panulisan Barat,Balai Desa Bangkal,106.235,153.8
R87,Desa Panulisan Barat,Balai Desa Jepara Wetan,111.176,153.8
R88,Desa Panulisan Barat,Balai Desa Jepara Kulon,109.741,150.7
R89,Desa Panulisan Barat,Balai Desa Kepudang,109.016,149.9
R90,Desa Panulisan Barat,Balai Desa Jati,109.927,153.3
R91,Desa Panulisan Barat,Balai Desa Karangtawang,119.898,160.7
R92,Desa Panulisan Barat,Balai Desa Karangpakis,121.407,160.9
R93,Desa Panulisan Barat,Balai Desa Banjarsari,123.331,163.0
R94,Desa Panulisan Barat,Balai Desa Jetis,125.763,166.0
R95,Desa Panulisan Barat,Balai Desa Banjareja,121.129,166.3
R96,Desa Panulisan Barat,Balai Desa Kedungbenda,118.659,162.4
R97,Desa Panulisan Barat,Balai Desa Klumprit,116.745,159.4
R98,Desa Panulisan Barat,Balai Desa Karangsembung,120.217,168.7
R99,Desa Panulisan Barat,Balai Desa Purwadadi,117.977,161.8
R100,Desa Panulisan Barat,Balai Desa Nusawangkal,117.144,160.1
R101,Desa Panulisan Barat,Balai Desa Karangputat,112.155,155.0
R102,Desa Panulisan Barat,Balai Desa Banjarwaru,108.181,149.0
R103,Desa Panulisan Barat,Balai Desa Danasri,110.92,153.0
R104,Desa Panulisan Barat,Balai Desa Danasri Kidul,112.244,155.0
R105,Desa Panulisan Barat,Balai Desa Nusawungu,114.519,156.2
R106,Desa Panulisan Barat,Balai Desa Danasri Lor,110.453,152.0
R107,Desa Panulisan Barat,Balai Desa Sikanco,109.436,150.5
R108,Desa Panulisan Barat,Balai Desa Tambakreja,48.29,73.6
R109,Desa Panulisan Barat,Kelurahan Tegalreja,102.581,140.6
R110,Desa Panulisan Barat,Kelurahan Sidakaya,103.709,140.9
R111,Desa Panulisan Barat,Kelurahan Cilacap,105.351,144.3
R112,Desa Panulisan Barat,Kelurahan Tegalkamulyan,103.829,139.9
R113,Desa Panulisan Barat,Kelurahan Kutawaru,80.266,139.0
R114,Desa Panulisan Barat,Kelurahan Lomanis,101.335,134.9
R115,Desa Panulisan Barat,Kelurahan Donan,103.281,138.5
